name,description,val_acc,test_acc,test_top3,delta_vs_baseline
baseline,Full best model,0.927710843373494,0.940854326396495,0.9824753559693319,
backbone_swin_t,Replace EfficientNet-B3 backbone with Swin-T,0.9255202628696605,0.9145673603504929,0.9824753559693319,-0.026286966046002114
backbone_mobilenet,Replace EfficientNet-B3 backbone with MobileNet,0.9233296823658269,0.9200438116100766,0.9846659364731654,-0.020810514786418377
backbone_vgg19,Replace EfficientNet-B3 backbone with VGG19,0.932092004381161,0.9233296823658269,0.9835706462212487,-0.017524644030668113
fusion_concat,Replace CrossAttention fusion with Concat,0.9255202628696605,0.9309967141292442,0.9824753559693319,-0.009857612267250793
head_mlp,Replace Linear head with MLP head,0.9255202628696605,0.9266155531215772,0.9890470974808324,-0.014238773274917849
no_pretrain,Random init — no ImageNet pretraining,0.3877327491785323,0.4008762322015334,0.6692223439211391,-0.5399780941949617
freeze_backbone,Freeze backbone; only fusion + head train,0.9222343921139102,0.927710843373494,0.9835706462212487,-0.013143483023001057
label_smoothing_0.1,Add label smoothing ε=0.1,0.9299014238773274,0.9255202628696605,0.9802847754654983,-0.01533406352683453
no_lr_scheduler,Constant LR (no CosineAnnealingLR),0.8904709748083242,0.8806133625410734,0.9715224534501643,-0.06024096385542166
no_augmentation,No training augmentation (centre-crop only),0.9112814895947426,0.8970427163198248,0.9693318729463308,-0.04381161007667023
lr_3e-4,Higher LR: 3e-4 instead of 1e-4,0.8904709748083242,0.8806133625410734,0.968236582694414,-0.06024096385542166
lr_3e-5,Lower LR: 3e-5 instead of 1e-4,0.9331872946330778,0.9364731653888281,0.9835706462212487,-0.004381161007666945
