name,flops,params,gpu_ms,cpu_ms
swin_t_cross_attention_mlp,5588956416,57034760,20.422550340008456,231.7735876997176
swin_t_cross_attention_linear,5588830464,56908552,20.500391550012864,234.78376799976104
swin_t_concat_mlp,5588431104,56508936,20.60615794995101,235.7019646995468
swin_t_concat_linear,5588305152,56382728,20.770182580017718,244.6141576001537
efficientnet_b3_cross_attention_mlp,5588956416,40211638,22.686585240007844,179.6574365995184
efficientnet_b3_cross_attention_linear,5588830464,40085430,23.991273190040374,183.69099960036692
efficientnet_b3_concat_mlp,5588431104,39685814,23.00609614001587,177.42713549960172
efficientnet_b3_concat_linear,5588305152,39559606,23.547139319998678,182.6775630004704
mobilenet_cross_attention_mlp,5588956416,32487358,16.902313050013618,149.82481699989876
mobilenet_cross_attention_linear,5588830464,32361150,17.219320309959585,146.59179380032583
mobilenet_concat_mlp,5588431104,31961534,16.792742350007757,148.36085279966937
mobilenet_concat_linear,5588305152,31835326,17.40625784994336,150.46236269990914
vgg19_cross_attention_mlp,5588956416,40106446,13.495732500014128,344.2703079999774
vgg19_cross_attention_linear,5588830464,39980238,13.090476090001175,342.7959843997087
vgg19_concat_mlp,5588431104,39580622,12.734366930017131,341.81300360069145
vgg19_concat_linear,5588305152,39454414,13.209920410008635,345.93935449956916
