backbone,fusion,head,name,test_accuracy,top3_accuracy,best_val_acc,elapsed_s
swin_t,cross_attention,mlp,swin_t_cross_attention_mlp,,,,0.0
swin_t,cross_attention,linear,swin_t_cross_attention_linear,,,,0.0
swin_t,concat,mlp,swin_t_concat_mlp,,,,0.0
swin_t,concat,linear,swin_t_concat_linear,,,,0.0
efficientnet_b3,cross_attention,mlp,efficientnet_b3_cross_attention_mlp,,,,0.0
efficientnet_b3,cross_attention,linear,efficientnet_b3_cross_attention_linear,,,,0.0
efficientnet_b3,concat,mlp,efficientnet_b3_concat_mlp,,,,0.0
efficientnet_b3,concat,linear,efficientnet_b3_concat_linear,,,,0.0
mobilenet,cross_attention,mlp,mobilenet_cross_attention_mlp,,,,0.0
mobilenet,cross_attention,linear,mobilenet_cross_attention_linear,,,,0.0
mobilenet,concat,mlp,mobilenet_concat_mlp,,,,0.0
mobilenet,concat,linear,mobilenet_concat_linear,,,,0.0
vgg19,cross_attention,mlp,vgg19_cross_attention_mlp,,,,0.0
vgg19,cross_attention,linear,vgg19_cross_attention_linear,,,,0.0
vgg19,concat,mlp,vgg19_concat_mlp,,,,0.0
vgg19,concat,linear,vgg19_concat_linear,,,,0.0
swin_t,none,random_forest,swin_t_none_random_forest,0.14676889375684557,0.0,0.1533406352683461,68.61279559135437
swin_t,none,naive_bayes,swin_t_none_naive_bayes,0.13910186199342825,0.0,0.1456736035049288,58.62712264060974
efficientnet_b3,none,random_forest,efficientnet_b3_none_random_forest,0.14786418400876233,0.0,0.12924424972617743,67.60086154937744
efficientnet_b3,none,naive_bayes,efficientnet_b3_none_naive_bayes,0.1380065717415115,0.0,0.13472070098576122,58.70949459075928
mobilenet,none,random_forest,mobilenet_none_random_forest,0.12814895947426067,0.0,0.14238773274917854,67.66470623016357
mobilenet,none,naive_bayes,mobilenet_none_naive_bayes,0.1303395399780942,0.0,0.13910186199342825,58.309457540512085
vgg19,none,random_forest,vgg19_none_random_forest,0.14238773274917854,0.0,0.1533406352683461,70.28358221054077
vgg19,none,naive_bayes,vgg19_none_naive_bayes,0.12814895947426067,0.0,0.12924424972617743,59.65959358215332
