model,trial,val_acc,is_best_retrain,lr,weight_decay,label_smoothing,dropout,batch_size,test_acc,test_top3
efficientnet_b3_cross_attention_linear,0,0.9255202628696605,False,0.0001025350969016849,0.006351221010640704,0.146398788362281,0.23946339367881464,8,,
efficientnet_b3_cross_attention_linear,1,0.025191675794085433,False,0.002176624112345368,0.00025378155082656634,0.1416145155592091,0.008233797718320978,8,,
efficientnet_b3_cross_attention_linear,2,0.9299014238773274,False,3.0955664602423724e-05,5.415244119402541e-06,0.06084844859190755,0.20990257265289514,32,,
efficientnet_b3_cross_attention_linear,3,0.927710843373494,False,2.3795221163877236e-05,1.4742753159914662e-05,0.07327236865873835,0.1824279936868144,8,,
efficientnet_b3_cross_attention_linear,4,0.8707557502738226,False,0.00039710847107924746,1.5339162591163623e-06,0.12150897038028768,0.06820964947491662,32,,
efficientnet_b3_cross_attention_linear,7,0.9397590361445783,False,3.154399030833095e-05,0.00755681014127443,0.15502656467222292,0.37579957662567565,32,,
efficientnet_b3_cross_attention_linear,14,0.9266155531215772,False,3.249649845113935e-05,1.274888893339558e-06,0.04036632685732587,0.19841652486788572,32,,
efficientnet_b3_cross_attention_linear,best_retrain,0.940854326396495,True,3.154399030833095e-05,0.00755681014127443,0.15502656467222292,0.37579957662567565,32,0.9375684556407448,0.9835706462212487
mobilenet_cross_attention_linear,0,0.91894852135816,False,0.0001025350969016849,0.006351221010640704,0.146398788362281,0.23946339367881464,8,,
mobilenet_cross_attention_linear,1,0.08652792990142388,False,0.002176624112345368,0.00025378155082656634,0.1416145155592091,0.008233797718320978,8,,
mobilenet_cross_attention_linear,2,0.9211391018619934,False,3.0955664602423724e-05,5.415244119402541e-06,0.06084844859190755,0.20990257265289514,32,,
mobilenet_cross_attention_linear,3,0.9266155531215772,False,2.3795221163877236e-05,1.4742753159914662e-05,0.07327236865873835,0.1824279936868144,8,,
mobilenet_cross_attention_linear,4,0.8817086527929902,False,0.00039710847107924746,1.5339162591163623e-06,0.12150897038028768,0.06820964947491662,32,,
mobilenet_cross_attention_linear,7,0.9331872946330778,False,3.154399030833095e-05,0.00755681014127443,0.15502656467222292,0.37579957662567565,32,,
mobilenet_cross_attention_linear,8,0.9200438116100766,False,1.7331598058558698e-05,6.0803901902966035e-06,0.009045457782107613,0.13013213230530574,32,,
mobilenet_cross_attention_linear,12,0.927710843373494,False,4.5018414412409155e-05,0.0012672826384589795,0.08366446735242074,0.1737425087025645,16,,
