species,precision,recall,f1,support
Acorn Woodpecker,0.0,0.0,0.0,0
American Crow,0.9880952380952381,0.9431818181818182,0.9651162790697675,88
American Robin,1.0,1.0,1.0,22
Anna's Hummingbird,1.0,1.0,1.0,21
Black Phoebe,0.0,0.0,0.0,0
Brewer's Blackbird,0.9642857142857143,1.0,0.9818181818181818,27
Bushtit,0.8557692307692307,0.8811881188118812,0.8682926829268293,101
California Scrub-Jay,0.9529411764705882,0.9759036144578314,0.9642857142857143,83
California Towhee,0.0,0.0,0.0,0
Chestnut-backed Chickadee,0.8554216867469879,0.8987341772151899,0.8765432098765432,79
Cooper's Hawk,0.9439252336448598,0.9901960784313726,0.9665071770334929,102
Dark-eyed Junco,1.0,1.0,1.0,30
House Finch,1.0,1.0,1.0,30
Lesser Goldfinch,0.9759036144578314,0.9101123595505618,0.9418604651162791,89
Mourning Dove,1.0,1.0,1.0,23
Northern Mockingbird,1.0,1.0,1.0,21
Oak Titmouse,0.8888888888888888,0.8571428571428571,0.8727272727272727,84
Red-tailed Hawk,1.0,1.0,1.0,30
White-crowned Sparrow,0.0,0.0,0.0,0
Yellow-rumped Warbler,0.9135802469135802,0.891566265060241,0.9024390243902439,83
