species,precision,recall,f1,support
Acorn Woodpecker,0.0,0.0,0.0,0
American Crow,0.9655172413793104,0.9545454545454546,0.96,88
American Robin,1.0,1.0,1.0,22
Anna's Hummingbird,1.0,1.0,1.0,21
Black Phoebe,0.0,0.0,0.0,0
Brewer's Blackbird,1.0,1.0,1.0,27
Bushtit,0.8090909090909091,0.8811881188118812,0.8436018957345972,101
California Scrub-Jay,0.9294117647058824,0.9518072289156626,0.9404761904761905,83
California Towhee,0.0,0.0,0.0,0
Chestnut-backed Chickadee,0.9210526315789473,0.8860759493670886,0.9032258064516129,79
Cooper's Hawk,0.970873786407767,0.9803921568627451,0.975609756097561,102
Dark-eyed Junco,1.0,1.0,1.0,30
House Finch,1.0,0.9666666666666667,0.9830508474576272,30
Lesser Goldfinch,1.0,0.9550561797752809,0.9770114942528736,89
Mourning Dove,1.0,1.0,1.0,23
Northern Mockingbird,1.0,1.0,1.0,21
Oak Titmouse,0.8372093023255814,0.8571428571428571,0.8470588235294118,84
Red-tailed Hawk,0.967741935483871,1.0,0.9836065573770492,30
White-crowned Sparrow,0.0,0.0,0.0,0
Yellow-rumped Warbler,0.961038961038961,0.891566265060241,0.925,83
