species,precision,recall,f1,support
Acorn Woodpecker,0.0,0.0,0.0,0
American Crow,0.9659090909090909,0.9659090909090909,0.9659090909090909,88
American Robin,1.0,1.0,1.0,22
Anna's Hummingbird,1.0,1.0,1.0,21
Black Phoebe,0.0,0.0,0.0,0
Brewer's Blackbird,1.0,1.0,1.0,27
Bushtit,0.8468468468468469,0.9306930693069307,0.8867924528301887,101
California Scrub-Jay,0.9404761904761905,0.9518072289156626,0.9461077844311377,83
California Towhee,0.0,0.0,0.0,0
Chestnut-backed Chickadee,0.8875,0.8987341772151899,0.8930817610062893,79
Cooper's Hawk,0.9423076923076923,0.9607843137254902,0.9514563106796117,102
Dark-eyed Junco,0.967741935483871,1.0,0.9836065573770492,30
House Finch,1.0,1.0,1.0,30
Lesser Goldfinch,0.9642857142857143,0.9101123595505618,0.9364161849710982,89
Mourning Dove,1.0,1.0,1.0,23
Northern Mockingbird,1.0,1.0,1.0,21
Oak Titmouse,0.9102564102564102,0.8452380952380952,0.8765432098765432,84
Red-tailed Hawk,1.0,1.0,1.0,30
White-crowned Sparrow,0.0,0.0,0.0,0
Yellow-rumped Warbler,0.9240506329113924,0.8795180722891566,0.9012345679012346,83
