species,precision,recall,f1,support
Acorn Woodpecker,0.0,0.0,0.0,0
American Crow,0.9659090909090909,0.9659090909090909,0.9659090909090909,88
American Robin,1.0,1.0,1.0,22
Anna's Hummingbird,1.0,1.0,1.0,21
Black Phoebe,0.0,0.0,0.0,0
Brewer's Blackbird,1.0,1.0,1.0,27
Bushtit,0.8245614035087719,0.9306930693069307,0.8744186046511628,101
California Scrub-Jay,0.9195402298850575,0.963855421686747,0.9411764705882353,83
California Towhee,0.0,0.0,0.0,0
Chestnut-backed Chickadee,0.9078947368421053,0.8734177215189873,0.8903225806451613,79
Cooper's Hawk,0.9405940594059405,0.9313725490196079,0.9359605911330049,102
Dark-eyed Junco,1.0,1.0,1.0,30
House Finch,0.967741935483871,1.0,0.9836065573770492,30
Lesser Goldfinch,0.8842105263157894,0.9438202247191011,0.9130434782608695,89
Mourning Dove,1.0,1.0,1.0,23
Northern Mockingbird,1.0,1.0,1.0,21
Oak Titmouse,0.8947368421052632,0.8095238095238095,0.85,84
Red-tailed Hawk,1.0,1.0,1.0,30
White-crowned Sparrow,0.0,0.0,0.0,0
Yellow-rumped Warbler,0.971830985915493,0.8313253012048193,0.8961038961038961,83
