species,precision,recall,f1,support
Acorn Woodpecker,0.0,0.0,0.0,0
American Crow,0.9655172413793104,0.9545454545454546,0.96,88
American Robin,1.0,1.0,1.0,22
Anna's Hummingbird,1.0,1.0,1.0,21
Black Phoebe,0.0,0.0,0.0,0
Brewer's Blackbird,0.9642857142857143,1.0,0.9818181818181818,27
Bushtit,0.8363636363636363,0.9108910891089109,0.8720379146919431,101
California Scrub-Jay,0.9195402298850575,0.963855421686747,0.9411764705882353,83
California Towhee,0.0,0.0,0.0,0
Chestnut-backed Chickadee,0.8860759493670886,0.8860759493670886,0.8860759493670886,79
Cooper's Hawk,0.9339622641509434,0.9705882352941176,0.9519230769230769,102
Dark-eyed Junco,1.0,1.0,1.0,30
House Finch,1.0,1.0,1.0,30
Lesser Goldfinch,1.0,0.9325842696629213,0.9651162790697675,89
Mourning Dove,1.0,1.0,1.0,23
Northern Mockingbird,0.9545454545454546,1.0,0.9767441860465116,21
Oak Titmouse,0.8607594936708861,0.8095238095238095,0.8343558282208589,84
Red-tailed Hawk,1.0,1.0,1.0,30
White-crowned Sparrow,0.0,0.0,0.0,0
Yellow-rumped Warbler,0.9605263157894737,0.8795180722891566,0.9182389937106918,83
