species,precision,recall,f1,support
Acorn Woodpecker,0.0,0.0,0.0,0
American Crow,0.9659090909090909,0.9659090909090909,0.9659090909090909,88
American Robin,1.0,1.0,1.0,22
Anna's Hummingbird,0.9545454545454546,1.0,0.9767441860465116,21
Black Phoebe,0.0,0.0,0.0,0
Brewer's Blackbird,1.0,1.0,1.0,27
Bushtit,0.8303571428571429,0.9207920792079208,0.8732394366197183,101
California Scrub-Jay,0.975609756097561,0.963855421686747,0.9696969696969697,83
California Towhee,0.0,0.0,0.0,0
Chestnut-backed Chickadee,0.918918918918919,0.8607594936708861,0.8888888888888888,79
Cooper's Hawk,0.9611650485436893,0.9705882352941176,0.9658536585365853,102
Dark-eyed Junco,0.967741935483871,1.0,0.9836065573770492,30
House Finch,1.0,0.9666666666666667,0.9830508474576272,30
Lesser Goldfinch,0.9425287356321839,0.9213483146067416,0.9318181818181818,89
Mourning Dove,1.0,0.9565217391304348,0.9777777777777777,23
Northern Mockingbird,0.9130434782608695,1.0,0.9545454545454546,21
Oak Titmouse,0.8888888888888888,0.8571428571428571,0.8727272727272727,84
Red-tailed Hawk,0.967741935483871,1.0,0.9836065573770492,30
White-crowned Sparrow,0.0,0.0,0.0,0
Yellow-rumped Warbler,0.8860759493670886,0.8433734939759037,0.8641975308641975,83
