species,precision,recall,f1,support
Acorn Woodpecker,0.0,0.0,0.0,0
American Crow,0.9444444444444444,0.9659090909090909,0.9550561797752809,88
American Robin,0.9565217391304348,1.0,0.9777777777777777,22
Anna's Hummingbird,1.0,1.0,1.0,21
Black Phoebe,0.0,0.0,0.0,0
Brewer's Blackbird,1.0,1.0,1.0,27
Bushtit,0.7863247863247863,0.9108910891089109,0.8440366972477065,101
California Scrub-Jay,0.9875,0.9518072289156626,0.9693251533742331,83
California Towhee,0.0,0.0,0.0,0
Chestnut-backed Chickadee,0.8961038961038961,0.8734177215189873,0.8846153846153846,79
Cooper's Hawk,0.9433962264150944,0.9803921568627451,0.9615384615384616,102
Dark-eyed Junco,1.0,1.0,1.0,30
House Finch,1.0,0.9333333333333333,0.9655172413793104,30
Lesser Goldfinch,0.945054945054945,0.9662921348314607,0.9555555555555556,89
Mourning Dove,1.0,1.0,1.0,23
Northern Mockingbird,1.0,1.0,1.0,21
Oak Titmouse,0.8767123287671232,0.7619047619047619,0.8152866242038217,84
Red-tailed Hawk,0.967741935483871,1.0,0.9836065573770492,30
White-crowned Sparrow,0.0,0.0,0.0,0
Yellow-rumped Warbler,0.96,0.8674698795180723,0.9113924050632911,83
