species,precision,recall,f1,support
Acorn Woodpecker,0.0,0.0,0.0,0
American Crow,0.9770114942528736,0.9659090909090909,0.9714285714285714,88
American Robin,1.0,1.0,1.0,22
Anna's Hummingbird,1.0,1.0,1.0,21
Black Phoebe,0.0,0.0,0.0,0
Brewer's Blackbird,1.0,1.0,1.0,27
Bushtit,0.8333333333333334,0.8910891089108911,0.861244019138756,101
California Scrub-Jay,0.9302325581395349,0.963855421686747,0.9467455621301775,83
California Towhee,0.0,0.0,0.0,0
Chestnut-backed Chickadee,0.9315068493150684,0.8607594936708861,0.8947368421052632,79
Cooper's Hawk,0.9272727272727272,1.0,0.9622641509433962,102
Dark-eyed Junco,1.0,1.0,1.0,30
House Finch,1.0,1.0,1.0,30
Lesser Goldfinch,0.9651162790697675,0.9325842696629213,0.9485714285714286,89
Mourning Dove,1.0,1.0,1.0,23
Northern Mockingbird,1.0,1.0,1.0,21
Oak Titmouse,0.8795180722891566,0.8690476190476191,0.874251497005988,84
Red-tailed Hawk,1.0,1.0,1.0,30
White-crowned Sparrow,0.0,0.0,0.0,0
Yellow-rumped Warbler,0.9473684210526315,0.8674698795180723,0.9056603773584906,83
