backbone,fusion,head,name,test_accuracy,top3_accuracy,best_val_acc,elapsed_s
swin_t,cross_attention,mlp,swin_t_cross_attention_mlp,0.9552238805970149,0.9919154228855721,0.9601990049751243,680.9582116603851
swin_t,cross_attention,linear,swin_t_cross_attention_linear,0.9558457711442786,0.9881840796019901,0.9564676616915423,677.5313565731049
swin_t,concat,mlp,swin_t_concat_mlp,0.9577114427860697,0.9894278606965174,0.9577114427860697,633.1513996124268
swin_t,concat,linear,swin_t_concat_linear,0.9564676616915423,0.9894278606965174,0.960820895522388,631.4364397525787
efficientnet_b3,cross_attention,mlp,efficientnet_b3_cross_attention_mlp,0.9676616915422885,0.9944029850746269,0.9651741293532339,642.6268348693848
efficientnet_b3,cross_attention,linear,efficientnet_b3_cross_attention_linear,0.9651741293532339,0.9912935323383084,0.9645522388059702,631.1386198997498
efficientnet_b3,concat,mlp,efficientnet_b3_concat_mlp,0.9589552238805971,0.9919154228855721,0.9614427860696517,627.2198495864868
efficientnet_b3,concat,linear,efficientnet_b3_concat_linear,0.9564676616915423,0.9937810945273632,0.9620646766169154,628.0732042789459
mobilenet,cross_attention,mlp,mobilenet_cross_attention_mlp,0.9514925373134329,0.9912935323383084,0.9620646766169154,539.6885573863983
mobilenet,cross_attention,linear,mobilenet_cross_attention_linear,0.9558457711442786,0.9869402985074627,0.960820895522388,523.2780094146729
mobilenet,concat,mlp,mobilenet_concat_mlp,0.9552238805970149,0.9900497512437811,0.9595771144278606,530.9968242645264
mobilenet,concat,linear,mobilenet_concat_linear,0.9564676616915423,0.9919154228855721,0.9564676616915423,524.1659569740295
vgg19,cross_attention,mlp,vgg19_cross_attention_mlp,0.9521144278606966,0.9931592039800995,0.9552238805970149,719.9074659347534
vgg19,cross_attention,linear,vgg19_cross_attention_linear,0.9583333333333334,0.9894278606965174,0.9601990049751243,718.3561706542969
vgg19,concat,mlp,vgg19_concat_mlp,0.9527363184079602,0.9888059701492538,0.957089552238806,715.4670162200928
vgg19,concat,linear,vgg19_concat_linear,0.9564676616915423,0.9894278606965174,0.957089552238806,715.6646466255188
swin_t,none,random_forest,swin_t_none_random_forest,0.8550995024875622,0.0,0.8706467661691543,96.64440250396729
swin_t,none,naive_bayes,swin_t_none_naive_bayes,0.7344527363184079,0.0,0.7562189054726368,45.073867082595825
efficientnet_b3,none,random_forest,efficientnet_b3_none_random_forest,0.8420398009950248,0.0,0.8675373134328358,96.70709776878357
efficientnet_b3,none,naive_bayes,efficientnet_b3_none_naive_bayes,0.7220149253731343,0.0,0.7425373134328358,44.90729284286499
mobilenet,none,random_forest,mobilenet_none_random_forest,0.8519900497512438,0.0,0.861318407960199,96.77445554733276
mobilenet,none,naive_bayes,mobilenet_none_naive_bayes,0.7195273631840796,0.0,0.7332089552238806,44.569880962371826
vgg19,none,random_forest,vgg19_none_random_forest,0.849502487562189,0.0,0.871268656716418,98.2140052318573
vgg19,none,naive_bayes,vgg19_none_naive_bayes,0.7307213930348259,0.0,0.7555970149253731,45.76756143569946
